id,title,sector_name,administrative_level,estimated_cost,investment_status,project_status
9910,1-Amélioration des recettes locales à travers la construction d’un magasin de 1000 tonnes pour le stockage d'oignon et de riz,Magasin de stockage,ILLOUA,2166667,p,N
9885,1-Amélioration des revenus des communautés à travers le réaménagement de l’embarcadère de Zongo et celui de Fada,Gare routière à l’intérieur ou à proximité du marché,MADÉCALI-ZONGO,2166667,p,N
9975,1- Amélioration des revenus des femmes à travers la formation et la dotation en matériels et équipements de fabrication du savon,Atelier,KOUALÉROU,2166667,p,N
9915,1-Amélioration des revenus des femmes à travers la formation et la dotation en matériels et équipements de fabrication du savon,Atelier,ILLOUA,2166667,p,N
9895,1- Amélioration des revenus du groupement des femmes à travers la formation et la dotation en matériels et équipements de fabrication de savon au profit des groupements des femmes,Piste de desserte rurale,MADÉCALI-ZONGO,2166667,p,N
9955,1-Amélioration des revenus du groupement des femmes à travers la formation et la dotation en matériels et équipements de production au profit des groupements des femmes maraichers,Aménagement,KASSA,2166667,p,N
9990,1- Aménagement du marché de Garou et construction des hangars,Hangar de marché,GAROU-TÉDJI-GOROBANI,2166667,p,N
7331,1-Aménagement d’un périmètre maraicher + forages photovoltaïques  Equipements et/ou acquisitions diverses,Forage simple,LOU,2166667,p,N
7278,1-Aménagement dun périmètre maraicher + forages photovoltaïques  Equipements et/ou acquisitions diverses,Forage simple,KALALÉ-SESSOUAN,2166667,p,N
7256,1-Aménagement dun périmètre maraicher + forages photovoltaïques  Equipements et/ou acquisitions diverses,Forage simple,KALALÉ,2166667,p,N
14825,1) Aménagement du terrain de football de Bouca en Cloture et équipement,Terrain de football,BOURAOURÈ,2166667,p,N
8323,1)Aménagement du terrain de football de Bouca en Cloture et équipement,Terrain de football,BOUCA-PEULH,2166667,p,N
13921,"1-Aménagement du terrain de sport de l'EPP Tchapetta et dotation de kit sportif à l'équipe de football ""TINITA FC""",Module de trois (3) salles de classes + bureau et magasins pour les écoles primaires,TCHAPÉTA,2166667,p,N
3467,1-Amenagement la piste Marché Badjoudè- Bissetou-marché d'Anoum et contruire toutes  les infrastructures de franchissement nécessaires,Piste de desserte rurale,BISSÉTOUGOU,2166667,p,N
14233,1)Aménagementsommaired'unterraindefootball+Clôtureetacquisitionsdiversesàbouca,"Kits de football (crampons, filets, ballon, maillots)",GANDO-GOUROU,2166667,p,N
9930,1- Aménager des baffons pour la culture contre saison,Aménagement,GODJÉKOARA,2166667,p,N
3461,1 - Amenager et clôturer un terrain de football munu de bloc de latrine et stuctuer les jeunes dotée de kit sportif,Blocs de latrines publiques modernes,HONGON,2166667,p,N
3441,1 - Amenager et clôturer un terrain de football munu de bloc de latrine et stuctuer les jeunes dotée de kit sportif,Blocs de latrines publiques modernes,GOUFANROU,2166667,p,N
3499,"1-Amenager la piste de déserte rurale reliant le marché de Badjoudè, Kakpala et Pamou et réaliser  tous les ouvrages  de franchissement facilitant l'accès des agriculteurs de Kakpala à leur fermes situées à Pamou",Piste de desserte rurale,KAKPALA,2166667,p,N
9970,1- Aménager les baffons pour la culture du riz en saison sèche,Aménagement,KOUALÉROU,2166667,p,N
9945,1-Augmenter le périmètre de l’aire de pâturage réservée aux éleveurs et y faire des forages avec abreuvoirs,Forage + abreuvoir,KASSA,2166667,p,N
14051,1) Centre de métier de jeunes,Infrastructure,TOUKOUNTOUNA,2166667,p,N
14516,1.Construction de 06 hangars six place modernes et de latrines à 4 cabimes dans le marché Bakpérou,Bloc de latrines pour les marchés locaux,TOUROU-PALAIS-ROYAL,2166667,p,N
8293,1) Construction de 4 hangars dans le marché de Bouca,Hangar de marché,BOUCA-GANDO,2166667,p,N
10030,1- Construction de 6 hangars à 10 places au marché de Garou Tédji,Hangar de marché,GAROU-TÉDJI,2166667,p,N
14223,1)Constructiondedeux(02)blocsdelatrinesàquatre(04)cabineschacunauniveaudumarchédeBouca,Bloc de latrines pour les marchés locaux,GANDO-GOUROU,2166667,p,N
10070,1- Construction de dix (10) hangars de 12 places au marché de Garou,Hangar de marché,GAROU-BÉRI,2166667,p,N
14041,1) construction de hangards pour la vente d'igname,Hangar de marché,TOUKOUNTOUNA,2166667,p,N
7302,1-construction de la maison des jeunes plus équipement,Infrastructure,NASSICONZI,2166667,p,N
14546,1-construction de maison de jeune,Infrastructure,SOUROU,2166667,p,N
14343,"1-Construction des hangars,boutiq ues,caniveaux ,lampadaires  dans le marché",Hangar de marché,WÈRÈKÈ,2166667,p,N
14814,1) Construction des hangars dans le marché à Kourèl,Hangar de marché,BOURAOURÈ,2166667,p,N
2930,1) Construction des hangars dans le marché d’Anandana,Hangar de marché,N’DAM,2166667,p,N
2910,1) Construction des hangars dans le marché d’Anandana,Hangar de marché,KOUKOULBENDI,2166667,p,N
2890,1) Construction des hangars dans le marché d’Anandana,Hangar de marché,KOUBOKOUBORÈ,2166667,p,N
8273,1)  Construction des hangars dans le marché de Wonko,Hangar de marché,WONKO DE NIKKI,2166667,p,N
3451,"1- Construction des hangars  , magasins et les boutiques dans le marché  Yakabissi pour protégers les commerçantes des intempéris climatique",Hangar de marché,HONGON,2166667,p,N
3446,"1- construction des pistes reliant Goufanrou Yakabissi , Hongon",Piste de desserte rurale,HONGON,2166667,p,N
9940,1- Construction d’un centre de jeunes et de loisirs au profit des jeunes,Infrastructure,GODJÉKOARA,2166667,p,N
10080,1- Construction d’un centre de jeunes et de loisirs au profit des jeunes de Garou,Infrastructure,GAROU-BÉRI,2166667,p,N
14351,1 -Construction d’un centre de loisir,Infrastructure,WÈRÈKÈ,2166667,p,N
8303,1)   Construction d'un centre de loisirs pour les jeunes et équipement,Infrastructure,BOUCA-GANDO,2166667,p,N
2900,1) Construction d'une maison de jeune à Pargoutè,Infrastructure,KOUBOKOUBORÈ,2166667,p,N
2959,1) Construction d'une maison de jeune d'Anandana,Infrastructure,PARGOUTÈ,2166667,p,N
2940,1) Construction d'une maison de jeune d'Anandana,Infrastructure,N’DAM,2166667,p,N
9960,1- Construction d’une maison de jeune dans le village,Infrastructure,KASSA,2166667,p,N
15105,"1) Construction d’une maison des jeunes à Ouassa Maro au profit des jeunes de Ouassa Maro, MaréOrou Gâh, Gonri, Sinaou, Nimgoussourou, Gambinou, Guimbérérou, Tobré et de Gountia",Infrastructure,OUASSA-MARO,2166667,p,N
14228,1)constructiond’uneunitéetAcquisitionetinstallation d’équipements de transformation de riz,Aménagement,GANDO-GOUROU,2166667,p,N
8268,1)  Construction d'un forage,Forage simple,WONKO DE NIKKI,2166667,p,N
15090,"1) construction d’un module de trois salles de classe plus bureau-magasin, d’un module de latrine à 4 cabines, d’un module de cantine scolaire et d’un point d’eau potable au profit de l’EPP/Ouassa Maro",Forage simple,OUASSA-MARO,2166667,p,N
14346,1-construction et équipement d’un atelier de transformation de beurre de karité NON KANAIRA,Atelier,WÈRÈKÈ,2166667,p,N
10040,1- Construction et équipement d’un centre de jeunes et de loisirs,Infrastructure,GAROU-TÉDJI,2166667,p,N
10000,1- Construction et équipement d’un centre des jeunes et de loisirs à Garou Tedji,Infrastructure,GAROU-TÉDJI-GOROBANI,2166667,p,N
14336,"1- Construction et équipement d’un dispensaire plus latrines, douches ;lampadaires solaireswéréké2- Réalisation de  couloir de passagewéréké3_Construction d’un module de classe pour la maternelle ,plus latrines, bureau ,magasin équipement en table et bancswéreké4 Réalisation  d’ un barragewéréké5-Réalisation de forage photovoltaïquewéréké 1-Construction des hangars,boutiq ues,caniveaux ,lampadaires  dans le marchéwéréké2-Construction d’une pharmacie vétérinaireEntre wéréké et bouyérou3-Construction de parc de vaccinationEntre wéréké et bouyérou4- Construction et équipement d'un marché moderne de bétailwéréké5- Construction  d'une boucherie moderne dans le marché de Wèrèkèwéréké1-construction et équipement d’un atelier de transformation de beurre de karité NON KANAIRAwéréké",Forage + abreuvoir,WÈRÈKÈ,2166667,p,N
3523,"1) Construire les hangars et des boutiques pour protéger les commerçantes des intempéries climatiques (soleil, pluie et vents violents)",Hangar de marché,TCHITCHAKOU,2166667,p,N
3482,"1-Construire un centre d'alphabétisation équipé de kit multimédia, d'une bibliothèqueenrichie de livres d'alphabétisation   et former les jeunes en alphabétisation",Infrastructure d’alphabétisation,BISSÉTOUGOU,2166667,p,N
14432,1-Contribution à l’amélioration de l’accès aux voies à travers la réhabilitation et l’ouverture des vons,Piste de desserte rurale,BANIKANNI-DOUWÉROU,2166667,p,N
14419,"1- Contribution à l’amélioration de l’assainissement à travers la dotation d’équipements d’hygiène et d’assainissement dans le marché dépôt (bac à ordure, poubelles, brouettes, etc.)",Blocs de latrines publiques modernes,KPÉROU-GUÉRA,2166667,p,N
14361,"1- Contribution à l’amélioration de l’assainissement à travers la dotation d’équipements d’hygiène et d’assainissement dans le marché dépôt (bac à ordure, poubelles, brouettes, etc.)",Blocs de latrines publiques modernes,ALAGA,2166667,p,N
14362,"1- Contribution à l’amélioration de l’assainissement à travers la dotation d’équipements d’hygiène et d’assainissement dans le marché dépôt (bac à ordure, poubelles, brouettes, etc.)",Blocs de latrines publiques modernes,ALAGA,2166667,p,N
9289,1) Contruction de deux (02) blocs de latrines à quatre cabines à l'EPP Dangazori,Bloc de latrine pour les écoles maternelles et primaires,DANGAZORI,2166667,p,N
8288,1)  Création d’une retenue d’eau agro-pastoral,Forage + abreuvoir,BOUCA-GANDO,2166667,p,N
9935,1-Créer et équiper un jardin pour le maraichage au profit des femmes,Aménagement,GODJÉKOARA,2166667,p,N
15070,1) Délimitation et sécurisation d’une aire de pâturage entre Nimgoussourou – Gambinou-forêt classée de l’Alibori supérieur plus couloirs de passage des animaux de Nimgoussourou vers aire de pâturage,Aménagement,NINGOUSSOUROU,2166667,p,N
11267,"1)   Extension du réseau de l'AEV de Dôh pour desservir Dôh, Konkou, Kpankpannin et Dôh-Gando",Adduction d’eau villageoise (AEV),DÔH,2166667,p,N
14541,1-Formation et équipement d’unité de transformation de karité en beure au profit GF Antigui,Atelier,SOUROU,2166667,p,N
14467,1-Formation et équipement en matériel agricole à deux associations agricoles (13 étoiles ; et Antoura boukanouda),Equipement,MONNON DE PARAKOU1,2166667,p,N
14409,1. Formation et équipement en matériel agricole à l’association Derana,Equipement,THIAN,2166667,p,N
14506,1. Formation et équipement en matériel agricole à l’association Nonsina,Equipement,TOUROU-DISPENSAIRE,2166667,p,N
14501,1-Formation et équipement en matériel de transformation de karité en beurre au profit Boungnindou,Atelier,TOUROU-DISPENSAIRE,2166667,p,N
14423,1-Formation et équipement en matériel de transformation de l’arachide en galette au profit du groupement « sonagnon »,Aménagement,KPÉROU-GUÉRA,2166667,p,N
14365,1 Formation et équipement en matériel de transformation de l’arachide en galette au profit du groupement « Sonagnon »,Aménagement,ALAGA,2166667,p,N
14462,1-Formation et équipement en matériel de travail au profit des riziculteurs (Tibo-Bénin renaissance),Aménagement,MONNON DE PARAKOU1,2166667,p,N
14521,1. Formation et équipement en matériel du GF de transformation de soja en lait,Aménagement,TOUROU-PALAIS-ROYAL,2166667,p,N
14404,1. Formation et équipement en matériel d’une unité de transformation de soja en fromage au Profit du GF Soudomsé,Aménagement,THIAN,2166667,p,N
14442,1- Formation et équipement en matériel pour la transformation du soja en fromage au profit du groupement « sou nomanènuna »,Aménagement,BANIKANNI-DOUWÉROU,2166667,p,N
14384,1- Formation et équipements en matériel de travail au profit des artisanes dénommées « fraternité »,Equipement,ALBARIKA,2166667,p,N
14427,1- Insertion de la jeunesse à l’entreprenariat,Autre,KPÉROU-GUÉRA,2166667,p,N
14369,1-Insertion de la jeunesse à l’entreprenariat,Autre,ALAGA,2166667,p,N
9995,1-Installation d'une unité de gestion des déchets ménagères dans le village,Blocs de latrines publiques modernes,GAROU-TÉDJI-GOROBANI,2166667,p,N
3513,"1-Installer les bassins Piscicoles et les ruches,  structurer et  former les commpératives nées en pisciculture et en aviculture",Infrastructure,KAKPALA,2166667,p,N
9980,1- Installer une antenne de réseau GSM dans le village,Autre,KOUALÉROU,2166667,p,N
7335,1- Réalisation de deux forages photovoltaïques  Équipements et/ou acquisitions diverses,Forage simple,WOBADJÈ,2166667,p,N
9925,1- Réalisation d'une retenue d'eau pour abreuver les animaux,Forage + abreuvoir,GODJÉKOARA,2166667,p,N
15055,1) Réalisation d’un ouvrage à but pastoral pour l’abreuvage des animaux sur le site de sédentarisation des éleveurs à Maré orou gah,Aménagement,MARÉ OROU GAH,2166667,p,N
8308,1)  Réalisation d’un point d’eau agropastorale multifonctionnel,Forage simple,BOUCA-PEULH,2166667,p,N
9965,1- Réaliser une Adduction d’Eau Villageoise (AEV) avec bornes fontaines,Adduction d’eau villageoise (AEV),KOUALÉROU,2166667,p,N
11285,"1 ) Réalistion des forages dans chacune des localités de: 1 à Yètèrè, 1 à Moundonro, 1 à Papatia, 1 à Barikayérou, 1 à Béya,Daoura, 1 à Sobourarou Gah et 1 à bakouré",Forage simple,SAYAKROU – GAH,2166667,p,N
8313,1) Réaménagement du marché de Bouca,Hangar de marché,BOUCA-PEULH,2166667,p,N
14819,1)    réhabilitation de site maraicher1 hectare et acquisition d’équipements,Lits de maternité et d’hospitalisation,BOURAOURÈ,2166667,p,N
14820,1)    réhabilitation de site maraicher1 hectare et acquisition d’équipements,Lits de maternité et d’hospitalisation,BOURAOURÈ,2166667,p,N
8318,1)  réhabilitation de site maraicher et acquisition d’équipements,Lits de maternité et d’hospitalisation,BOUCA-PEULH,2166667,p,N
10035,1- Renforcement de capacité des femmes et appuis des activités génératrices de revenus,Equipement,GAROU-TÉDJI,2166667,p,N
2915,1)  Renforcement de capacités et équipement des femmes pour la transformation du riz,Aménagement,KOUKOULBENDI,2166667,p,N
13916,"1)Renforcement de capacités techniques des femmes du goupement TIBONA sur la transformation du manioc  en gari et ses dérivés équipements  et fournitures de matériel (moulin, bâches, bassines, presseuses, marmites,  etc)",Atelier,TCHAPÉTA,2166667,p,N
3456,1- Renforcement des capacités des femmes transformatrices d'arachides en galette et huile puis appui en matériels et équipement de transformation,Aménagement,HONGON,2166667,p,N
15117,1) Renforcement des capacités et dotation de matériels  de transformation du lait  en fromage au profit des femmes peulhs de Sinaou,Equipement,SINAOU,2166667,p,N
14218,1) Traçagedesvonsdanslequartier,Piste de desserte rurale,GANDO-GOUROU,2166667,p,N
14486,1-Travaux de construction d’un centre d’alphabétisation,Infrastructure d’alphabétisation,BOSSO-CAMPS-PEULHS,2166667,p,N
14447,1-Travaux de construction d’un centre de loisirs,Infrastructure,BANIKANNI-DOUWÉROU,2166667,p,N
14526,1. Travaux de construction d’un centre d’informatique au Profit de la jeunesse,Autre,TOUROU-PALAIS-ROYAL,2166667,p,N
14389,1-Travaux de construction et équipement de la maison des jeunes,Infrastructure,ALBARIKA,2166667,p,N
14481,1-Travaux de formation et équipement en matériel de transformation de savon boule au profit de walakayerabe,Piste de desserte rurale,BOSSO-CAMPS-PEULHS,2166667,p,N
14046,1) Unité de transformation du soja +équipements,Aménagement,TOUKOUNTOUNA,2166667,p,N
9021,2,Autre,MAMASSY-PEULH,2166667,p,N
3474,2- 3) Assainir le marché par la construction de bloque de latrines et l'installation de système de collecte de déchets,Bloc de latrines pour les marchés locaux,BISSÉTOUGOU,2166667,p,N
8279,2)  Accompagnement des femmes en matériels Agricole,Equipement,WONKO DE NIKKI,2166667,p,N
10076,2- Accompagner les femmes et les jeunes dans le maraichage en leur dotant de matériels pour le jardinage,Aménagement,GAROU-BÉRI,2166667,p,N
14219,2) Acquisition et installation de 30 lampadaires solaires photovoltaïques,Électrification rurale hors réseau,GANDO-GOUROU,2166667,p,N
14395,2.-Ameélioration de l'accès à l'eau potable à travers la réalisation de trois forages photovoltaïque,Forage simple,THIAN,2166667,p,N
14492,2.-Ameélioration de l'accès à l'eau potable à travers la réalisation de trois forages photovoltaïque,Forage simple,TOUROU-DISPENSAIRE,2166667,p,N
14473,2-Ameélioration de l'accès aux ressources pastorales à    travers de réalisation d’un couloir de passage de 25KM,Aménagement,BOSSO-CAMPS-PEULHS,2166667,p,N
14532,2-Amélioration de l’accès à la connectivité à travers la réalisation d’un pont à yassobe,Passage busé,SOUROU,2166667,p,N
14453,2-Amélioration de l’accès à l’eau potable à travers la réalisation de 4 forages photovoltaïques (dont 2 à multi-usages),Forage simple,MONNON DE PARAKOU1,2166667,p,N
14433,2-Amélioration de l’accès à l’eau potable à travers la réalisation de quatre (4) forages,Forage simple,BANIKANNI-DOUWÉROU,2166667,p,N
14415,2-Amélioration de l’accès à l’eau potable à travers la réalisation de trois forages,Forage simple,KPÉROU-GUÉRA,2166667,p,N
9926,2- Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement,Forage + abreuvoir,GODJÉKOARA,2166667,p,N
9271,2) Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement à Soumè-Tounga au profit du village de Dangazori,Forage + abreuvoir,DANGAZORI,2166667,p,N
9251,2) Amélioration de l'accès à l'eau potable à travers la réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement au profit du village de Goungoun-Béri,Forage + abreuvoir,GOUNGOU-BÉRI,2166667,p,N
9231,2) Amélioration de l'accès à l'eau potable à travers la réhabilitation des bornes fontaines de Banizoumbou/ réalisation d’un (01) forage équipé de dispositif solaire plus château avec borne fontaine et système d'abreuvement à Banizoumbou,Forage + abreuvoir,BANIZOUMBOU,2166667,p,N
9891,2-Amélioration de l'assainissement du cadre de vie à travers la construction de deux (02) blocs de toilettes et latrines à quatre (4) cabines,Blocs de latrines publiques modernes,MADÉCALI-ZONGO,2166667,p,N
14497,2. Amélioration de l’éclairage du marché (04 lampadaires solaires),Éclairage public solaire,TOUROU-DISPENSAIRE,2166667,p,N
14400,2. Amélioration de l’éclairage du marché Thian (05 lampadaires solaires),Éclairage public solaire,THIAN,2166667,p,N
14517,2.Amelioration de l’éclairage Public dans le marché par acquisition de 5 lampadaires,Éclairage public solaire,TOUROU-PALAIS-ROYAL,2166667,p,N
14458,2-Amélioration de l’hygiène et l’assainissement à travers la construction d’un bloc de latrine à 4 cabines dans le marché,Bloc de latrines pour les marchés locaux,MONNON DE PARAKOU1,2166667,p,N
14380,2- Amélioration de l’hygiène et l’assainissement à travers la construction d’un bloc de latrine publique à 4 cabines,Blocs de latrines publiques modernes,ALBARIKA,2166667,p,N
9941,2- Amélioration des activités d'épanouissement des jeunes à travers l'aménagement sommaire d’un terrain de football + Equipements sportifs,Terrain de football,GODJÉKOARA,2166667,p,N
9961,2- Amélioration des activités d'épanouissement des jeunes à travers l'aménagement sommaire d’un terrain de football + Equipements sportifs,Terrain de football,KASSA,2166667,p,N
9981,2- Amélioration des activités d'épanouissement des jeunes à travers l'aménagement sommaire d’un terrain de football + Equipements sportifs,Terrain de football,KOUALÉROU,2166667,p,N
9236,2) Amélioration des conditions de commercialisation des productions à travers la construction de hangars pour le marché de Kompa,Hangar de marché,BANIZOUMBOU,2166667,p,N
9256,2) Amélioration des conditions de commercialisation des productions à travers la construction de hangars pour le marché de Kompa,Hangar de marché,GOUNGOU-BÉRI,2166667,p,N
9276,2) Amélioration des conditions de commercialisation des productions à travers la construction de hangars pour le marché de Kompa,Hangar de marché,DANGAZORI,2166667,p,N
9956,2- Amélioration des conditions de transformation du riz à travers la dotation des kits d'étuvage au profit des femmes transformatrices de riz,Aménagement,KASSA,2166667,p,N
9911,2-Amélioration des recettes locales à travers la réalisation d'une aire de séchage de riz et d'arachide,Aménagement,ILLOUA,2166667,p,N
9936,2- Amélioration des revenus du groupement des femmes   à travers la formation et la dotation en équipements de transformation et d'extraction d'huile d'arachide,Aménagement,GODJÉKOARA,2166667,p,N
9976,2- Amélioration des revenus du groupement des femmes à travers la formation et la dotation en matériels et équipements de transformation d’arachides au profit des groupements des femmes,Aménagement,KOUALÉROU,2166667,p,N
9916,2- Amélioration des revenus du groupement des femmes à travers la formation et la dotation en matériels et équipements de transformation du soja au profit des groupements des femmes,Aménagement,ILLOUA,2166667,p,N
9241,2) Amélioration du niveau d’équipement de transformation du à travers la formation et la fourniture d'équipement de tranformation du riz au profit de Banizoumbou,Aménagement,BANIZOUMBOU,2166667,p,N
9261,2) Amélioration du niveau d’équipement de transformation du riz à travers la formation et la fourniture d'équipement de tranformation du riz au profit de Goungoun-Béri,Aménagement,GOUNGOU-BÉRI,2166667,p,N
9281,2) Amélioration du niveau d’équipement de transformation du riz à travers la formation et la fourniture d'équipement de tranformation du riz au profit de Soumé-Tounga,Aménagement,DANGAZORI,2166667,p,N
13922,2)  Aménagement de la place publique de Tchapéta,Infrastructure,TCHAPÉTA,2166667,p,N
2886,2) Aménagement de la route et Construction d’un ouvrage de franchissement  sur la voie Anandana –Koubokouboré- Koukoulbendi -Chabi Kouma,Passage busé,KOUBOKOUBORÈ,2166667,p,N
2946,"2) Aménagement de la route et Construction d’un ouvrage de franchissement sur la voie Pargoutè-Kèkouprè, Pargoutè-Sonafel",Passage busé,PARGOUTÈ,2166667,p,N
2926,2) Aménagement de la route strèbi-N’dam-Gninékoué-Sola,Piste de desserte rurale,N’DAM,2166667,p,N
10041,2- Aménagement d’un terrain de football,Terrain de football,GAROU-TÉDJI,2166667,p,N
10081,2- Aménagement d’un terrain de football,Terrain de football,GAROU-BÉRI,2166667,p,N
10001,2- Aménagement d’un terrain de football au profit des jeunes de Garou Tédji Gorobani,Terrain de football,GAROU-TÉDJI-GOROBANI,2166667,p,N
9246,2) Aménagement d’un terrain de foot ball plus équipements sportifs pour les jeune de kompa,Terrain de football,BANIZOUMBOU,2166667,p,N
9286,2) Aménagement d’un terrain de football plus équipements sportifs pour les jeunes de Dangazori.,Terrain de football,DANGAZORI,2166667,p,N
9266,2) Aménagement d’un terrain de football plus équipements sportifs pour les jeunes de Goungoun-Béri.,Terrain de football,GOUNGOU-BÉRI,2166667,p,N
14810,2)  Aménagement du piste rurale Kourèl-Bouraourè de 4 km,Piste de desserte rurale,BOURAOURÈ,2166667,p,N
8304,2)   Aménagement du terrain de football plus équipement en matériel de jeux,Terrain de football,BOUCA-GANDO,2166667,p,N
